"spp","lon","lat"
"Manilkara maxima",-39,-15
"Manilkara maxima",-38.895556,-13.113333
"Manilkara maxima",-36.5624,-10.3536
"Manilkara maxima",-39.028611,-14.325
"Manilkara maxima",-37.418611,-11.3675
"Manilkara maxima",-39.121944,-15.155278
"Manilkara maxima",-39.065833,-14.354167
"Manilkara maxima",-39.014722,-15.344444
"Manilkara maxima",-39.372222,-14.971944
"Manilkara maxima",-37.4197,-11.395
"Manilkara maxima",-39.096111,-15.387222
"Manilkara maxima",-39.602778,-14.354167
"Manilkara maxima",-39.068611,-15.187778
"Manilkara maxima",-39.08,-14.42
"Manilkara maxima",-39.135,-14.499722
"Manilkara maxima",-37.419167,-11.384444
"Manilkara maxima",-39.065,-15.190833
"Manilkara maxima",-39.084722,-15.152778
"Manilkara maxima",-39.083333,-14.416667
"Manilkara maxima",-39.036389,-15.18
"Manilkara maxima",-39.036389,-14.335278
"Manilkara maxima",-39.036111,-14.335
"Manilkara maxima",-39.065278,-14.351389
"Manilkara maxima",-39.083333,-15.15
"Manilkara maxima",-39.08,-15.15
"Manilkara maxima",-39.08333,-15.15
"Manilkara maxima",-39.016667,-14.416667
"Manilkara maxima",-39.039444,-14.971944
"Manilkara maxima",-39.0751882637406,-15.2970177652254
"Manilkara maxima",-39.115,-14.499722
"Manilkara maxima",-52.8731,-10.8339
"Manilkara maxima",-36.94,-10.593333
"Manilkara maxima",-39.0617,-14.4231
"Manilkara maxima",-38.9965836192823,-14.2814954259902
